"Comparison","p.value","p.adjust","formatted_p.adjust","asterisks"
"Menstrual : Follicular",3.4e-07,4.86e-07,"0.0000004860","****"
"Menstrual : Early luteal",0,0,"0","****"
"Menstrual : Late luteal",0,0,"0","****"
"Menstrual : Premenstrual",5.63e-08,9.38e-08,"0.00000009380","****"
"Follicular : Early luteal",0,0,"0","****"
"Follicular : Late luteal",0,0,"0","****"
"Follicular : Premenstrual",0.0215,0.0239,"0.02390","*"
"Early luteal : Premenstrual",1.22e-09,2.44e-09,"0.000000002440","****"
"Late luteal : Premenstrual",2.37e-06,2.96e-06,"0.000002960","****"
